Заголовок,Время публикации,Описание,Ссылка
Уникальное оружие на IDEX-2025: китайская «самоходка» с лазерной системой поджига пороха,2 дня назад,"Сообщается, что в Абу-Даби впервые вне территории Китая показали новейшую китайскую самоходную артиллерийскую установку. Машина разработана китайской государственной корпорацией Norinco (China North Industries Group). Впервые она была представлена в ноябре 2024 года на Китайской международной авиационной и аэрокосмической выставке в Чжухае. SH16A стала уже второй машиной в линейке новейших САУ. Более ранняя модель SH16 использовала в качестве базы шасси грузовика с колесной формулой 6 на 6. Новая артиллерийская система базируется на шасси с колесной формулой 8 на 8. Шасси, получившее наименование VN23, используется Norinco как база для целого ряда машин, таких, как САУ, колесный БМП и другие. Заявляется, что машина при массе 36 тонн может развивать скорость до 110 километров в час по дорогам с твердым покрытием. Шасси имеет гидропневматическую подвеску, что позволяет машине буквально ложиться на брюхо, что будет очень полезно при транспортировке железнодорожным или воздушным транспортом. Орудие располагается в полностью бронированной башне. По заявлениям представителей фирмы разработчика, применение автоматических систем заряжения и наведения оружия позволяет обслуживать его всего двум членам экипажа. В теории это позволит обслуживать машину экипажем всего из трех человек. Орудие имеет стандартный калибр НАТО 155 мм и длину ствола в 52 калибра. По стандартам НАТО выполнено и бронирование машины. Оно соответствует уровню 4 STANAG 4569. Главным козырем всей системы, несомненно, является именно орудие. По заявлениям разработчиков, оно способно применять большую номенклатуру боеприпасов, включая корректируемые. Стандартный калибр НАТО позволит применять в орудии снаряды различных производителей. Максимальная дальность огня должна составлять 56 километров. Возимый боекомплект САУ составляет 30 снарядов. Но главной особенностью орудия является система воспламенения порохового заряда. Происходит это не с помощью классических капсюля и ударника, а с помощью лазера. Утверждается, что пороховой заряд, инициированный лазером, горит более стабильно, что позитивно сказывается на траектории полета снаряда. Анонсировано два варианта работы лазера. Лазер может поджигать порох в одной точке, либо многоточечно, когда энергия лазера передается через оптоволоконную систему, что позволяет одновременно зажигать заряды в нескольких точках. Про секретную новинку китайского авиастроения можно прочитать вматериалеHi-Tech Mail.",https://hi-tech.mail.ru/news/123259-mezhdunarodnyj-debyut-kitajskoj-sau/
Ученые собираются пробурить самую глубокую скважину в истории: зачем это нужно,2 дня назад,"Геотермальная энергия считается одним из самых стабильных и надежных возобновляемых источников, поскольку она не зависит от солнца или ветра. Такая энергия может заменить ископаемое топливо на существующих электростанциях и стать ключевым инструментом в борьбе с изменением климата. Тем не менее, ее добыча ограничена регионами с природным выходом тепла на поверхность. Специалисты Quaiseнамеренырешить эту проблему с помощью бурения на глубину до 20 километров, где температура достигает 500 . В таких условиях вода переходит в «сверхкритическую» фазу и проявляет свойства одновременно и жидкости, и газа: легко течет как газ, но при этом остается достаточно плотной, как жидкость. В этой фазе можно извлекать энергию в 10 раз более эффективно, чем традиционными методами. Одной из ключевых сложностей геотермальной энергетики является разработка технологии глубокого бурения. Запасы тепловой энергии Земли практически неисчерпаемы, но к ним еще нужно получить доступ. На сегодняшний день самая глубокая скважина, созданная человечеством — Кольская сверхглубокая в России, ее глубина составляет 12 289 метров. В 1991 году бурение этой скважины, которое с перерывами продолжалось с 1970 года, было прекращено из-за нехватки финансирования, а также технических трудностей: температура на глубине оказалась выше ожидаемой, что сделало дальнейшее бурение невозможным. В планах Quaise бурение скважины, которая будет почти в 2 раза глубже и достигнет 20 километров. Для этого специалисты планируют использовать гиротрон — уникальное устройство, разработанное еще в 60х годах прошлого века в СССР и изначально применявшееся для нагрева плазмы в термоядерных реакторах. Инженеры Quaise нашли для гиротрона новое применение: миллиметровые волны используются для разрушения породы без физического контакта с ней. Такой подход позволяет преодолеть ограничения традиционного бурения, в частности, перегрева и износа механических буров. В январе 2025 года Quaise начала первые полевые испытания, позднее в этом году планируется тест в гранитном карьере в Техасе, где инженеры собираются пробурить стометровую скважину. Если испытания пройдут успешно, компания сможет приступить к созданию первой коммерческой электростанции, работающей на сверхглубокой геотермальной энергии. Одним из преимуществ этой технологии является то, что она позволяет использовать существующую энергетическую инфраструктуру: старые угольные электростанции можно будет просто переоборудовать, заменяя ископаемое топливо геотермальным теплом. Это позволит избежать дорогостоящего строительства новых объектов и значительно ускорит переход к экологически чистой энергетике. Если все пойдет по плану, уже к 2028 году первая угольная станция будет переведена на геотермальную энергию, а технология начнет распространяться по всему миру. Тем временем в Китае всего за 600 днейпробурилискважину глубиной 10 910 метров. Ранее мы рассказывали о том, какие еще бывают «огромные дыры» на Земле :",https://hi-tech.mail.ru/news/123257-uchenye-sobirayutsya-proburit-samuyu-glubokuyu-skvazhinu-v-istorii-zachem-eto-nuzhno/
Невидимые ДНК повсюду вокруг нас: зачем ученые раскрывают их секреты,2 дня назад,"Одна из палуб лайнера полностью отдана под нужды современнойлаборатории, где ученые изучают экологическую ДНК (eDNA) — мельчайшие фрагменты генетического материала, которые оставляют после себя все живые организмы, находясь в воде, воздухе или почве. Эти крошечные следы позволяют исследователям отслеживать присутствие видов, включая редкие и исчезающие, а также предсказывать изменения в экосистемах. Технология анализа eDNA существует уже несколько десятилетий, однако только в последние годы развитие методов секвенирования сделало возможным быстрое и точное изучение генетического материала. Сегодня ученые могут выделить тысячи eDNA из одного образца воды, что было немыслимо всего пару десятилетий назад. Однако объем полученных данных такой большой, что даже самые мощные суперкомпьютеры с трудом справляются с их анализом. Выходом из этой ситуации может стать искусственный интеллект. Комбинируя ИИ с передовыми методами секвенирования, исследователи смогут мгновенно отслеживать изменения численности и видового состава организмов в любой экосистеме. Это позволит в режиме реального времени получать информацию о состоянии планеты и быстрее реагировать на возникающий экологические угрозы. Сейчас специалисты Viking Octantis отслеживают фитопланктон — основу морских пищевых цепочек и источник половины кислорода на Земле. Изменения в составе этих крошечных морских организмов могут указывать на возникновение серьезных проблем в экосистемах, так как эти изменения оказывают влияние на всю пищевую цепочку мирового океана — от мелких рыб до крупных хищников. Однако для того чтобы потенциал ИИ был реализован в полной мере, ученым необходимо создать масштабную базу данных о биоразнообразии, своего рода «генетический словарь» всех известных науке видов. Это колоссальная задача, которая требует не только времени и усилий ученых, но и значительных финансовых вливаний в проект. Без этой базы искусственный интеллект не сможет эффективно распознавать eDNA, особенно редких организмов или отличать генетический материал схожих видов. Несмотря на сложности, ученые настроены оптимистично. В мире уже работает несколько подобных проектов, данные о генетическом разнообразии морских видов уже начали собирать. Планируется, что сообща ученые создадут большую базу данных, которая будет открытой, доступной для исследователей по всему миру. И если развитие технологий продолжит расти, уже в ближайшие несколько лет человечество сможет полностью изменить подход к изучению окружающей среды. Тем временем в Россиивыдалипатент на первый отечественный геномный принтер.",https://hi-tech.mail.ru/news/123256-nevidimye-dnk-povsyudu-vokrug-nas-zachem-uchenye-raskryvayut-ih-sekrety/
"Названы три добавки, которые действительно полезны для сердца",2 дня назад,"Сердечно-сосудистые заболевания вот уже много лет одна из главных причина смертности во всем мире. Они уносят больше жизней, чем рак и несчастные случаи, вместе взятые. Желая снизить риск болезней сердца, многие люди обращаются к пищевым добавкам, однако далеко не все они в равной степени эффективны. Тем не менее, есть три БАДа, положительное влияние которых на сердечно-сосудистую систему доказано клиническимиисследованиями. Полиненасыщенные жирные кислоты омега-3 снижают уровень триглицеридов — жиров в крови, избыток которых приводит к образованию холестериновых бляшек внутри сосудов. Основным источником омега-3 является рыбий жир. Однако врачи предупреждают, что эффективность рыбьего жира сильно зависит от особенностей его производства, степени очистки и соотношения разных жирных кислот в добавке. Большинство клинических исследований проводилось на лекарственных препаратах с омега-3, а не на добавках, которые зачастую не проходят полноценных проверок качества. Играет роль и дозировка: некоторые исследования показывают, что высокие дозы рыбьего жира могут даже повышать риск аритмий и инсульта. Коэнзим Q10 (убихинон) — витаминоподобное вещество, которое регулирует энергетический обмен в клетках. Прием убихинона благотворно сказывается на работе сердца, особенно у людей с сердечной недостаточностью. Однако пока что ученые не уверены, что именно так эффективно: прием коэнзима Q10 сам по себе или сочетание этой добавки с другими кардиологическими препаратами, например, статинами. Фолиевая кислота, или витамин B9 способствует снижению уровня гомоцистеина — аминокислоты, которая повышает риск тромбозов и инсультов. Некоторые исследования показывают, что прием фолиевой кислоты действительно может помочь снизить риск инсульта, особенно у людей с дефицитом этого витамина. В отношении болезней сердца результативных исследований меньше, но ученые продолжают изучение этого важного для здоровья всего организма вещества. Важно понимать, что добавки не являются заменой здорового образа жизни, правильного питания и физической активности. Более того, БАДы не могут заменить назначенные врачом препараты — если болезни сердца уже имеют место, подменять назначенное врачом лечение приемом добавок нельзя. Кроме того, некоторые добавки могут быть потенциально опасны, особенно при неконтролируемом приеме. Например, витамин D может снижать эффективность статинов, а рыбий жир провоцировать аллергию. Поэтому прежде чем начать принимать БАДы для сердца, рекомендуется проконсультироваться с врачом. Ранее специалистыобъяснили, как лучше принимать витамины.",https://hi-tech.mail.ru/news/123255-nazvany-tri-dobavki-kotorye-dejstvitelno-polezny-dlya-serdca/
"Что бы случилось с планетой, если бы астероид не уничтожил динозавров: ответ ученых",2 дня назад,"История не терпит сослагательного наклонения, но все-таки давайте представим, что этой катастрофы никогда не было. Как жила бы в таком случае планета? Остались бы динозавры господствующим видом, смогли бы они пережить ледниковые периоды? Была ли у них в таком случае возможность эволюционировать до уровня разумных существ? Палеонтологисчитаютвысокой вероятность того, что динозавры продолжили бы править Землей. За 165 миллионов лет до катастрофы они уже успели приспособиться к множеству климатических и геологических изменений, включая колебания уровня моря, резкие скачки температуры и извержения вулканов. По словам профессора палеонтологии Эдинбургского университета Стива Бруссатте, в момент падения астероида динозавры были в самом расцвете своего вида — их было много, они были разными, и полностью доминировали на суше. Некоторые ученые считают, что этих животных все равно ожидала бы гибель, так как темпы вымирания видов к этому времени превышали скорость появления новых. Однако находки останков последних динозавров говорят об обратном: их популяции оставались сильными и отличались большим разнообразием до самого конца. И все-таки, смогли бы динозавры пережить ледниковый период? Действительно, большинство видов этих животных обитало в условиях теплого климата, однако, некоторые виды могли бы приспособиться к холоду. Например, у многие динозавров были перья, которые могли бы обеспечить животным неплохую теплоизоляцию. Кроме того, исследования показали, что некоторые виды, в том числе, тираннозавры, вероятно, были теплокровными — а значит, могли лучше переносить климатические изменения. Но что насчет интеллекта? Могли ли динозавры эволюционировать до уровня разумных существ? В 1982 году палеонтолог Дейл Рассел предположил, что троодонтиды — небольшие хищные динозавры с относительно крупным мозгом и острым зрением — могли бы со временем развиться до существ, обладающего разумом, сравнимым с человеческим. Хотя позднейшие исследования отвергли идею «динозавроидов» как излишне антропоцентричную, современные птицы — прямые потомки динозавров — демонстрируют высокий уровень интеллекта. Например, вороны и попугаи проявляют удивительную способность к обучению и даже могут использовать инструменты. Если бы астероид не уничтожил динозавров, эволюция млекопитающих, скорее всего, пошла бы по совсем иному пути. Без исчезновения доминирующих рептилий наши далекие предки — на тот момент маленькие, похожие на грызунов существа — могли бы остаться на обочине эволюции, не получив возможности занять освободившиеся экологические ниши. Палеонтолог Пол Серено из Чикагского университета считает, что в таком случае люди, в том виде, в каком мы существуем сейчас, вряд ли бы появились. Наш вид эволюционировал в условиях, когда Землей правили млекопитающие, а не гигантские рептилии. Если бы астероид пролетел мимо, история жизни на Земле сложилась бы совершенно иначе. Вместо млекопитающих и, в конечном итоге, людей, миром скорее всего продолжали бы править динозавры, а эволюция вероятно превратила бы их в животных, которых мы даже не можем представить. Так случайная катастрофа навсегда изменила лицо нашей планеты. Ранее ученыенашлидревнейших ископаемых динозавров-мегарапторов: вот чем находка поразила специалистов.",https://hi-tech.mail.ru/news/123254-chto-by-sluchilos-s-planetoj-esli-by-asteroid-ne-unichtozhil-dinozavrov-otvet-uchenyh/
Hamster Kombat запустил игровую инфраструктуру на блокчейне TON,2 дня назад,"Команда Hamster Kombat, проекта, который гремел в 2024 году,объявилао запуске нового протокола на базе блокчейна TON. Разработчики говорят, что это первый в мире блокчейн второго уровня, а ориентирован он на децентрализованные игры и приложения. Им, кстати, в реализации задумки помогали создатели TON. Сеть Layer2 работает на движке TON Virtual Machine, поэтому создатели различных проектов смогут бесшовно перенести свои приложения и игры на новую инфраструктуру от Hamster Kombat. Оплата же за использование мощностей для проведения транзакций будет приниматься токенами $HMSTR. Она уже поддерживает кошелек SparX, мост, децентрализованный обменник и блокчейн-«эксплорер». В настоящий момент сеть тестируется, а программа Hamster Boost еще и поощряет тестировщиков вознаграждениями в криптовалюте $TON. Напомним, что мини-приложение Hamster Kombat было мегапопулярным в 2024 году. В пик активности «хомяка» тапало более 150 миллионов человек. Послелистинга26 сентября 2024 года многие разочаровались в проекте, так как вместо ожидаемых сотен или даже тысяч долларов получили сущие копейки. На данный момент бот Hamster Kombat в Telegram насчитывает не более 11 млн пользователей, что почти в 15 раз меньше от былых вершин. В свою очередь стоимость токена $HMSTR от изначального значения в1 монета = 1 рубльупала до 15 копеек. Ранее стало известно, что Photoshop официальнопоявился на смартфонах. Пока утилита доступна для iOS-устройств, позже появится и на Android.",https://hi-tech.mail.ru/news/123253-hamster-kombat-zapustil-igrovuyu-infrastrukturu-na-baze-blokchejna-ton/
Сколько сахара можно есть каждый день: диетологи дали ответ,2 дня назад,"Последствия избыточного потребления сахара могут быть катастрофическими. Ученыеподтверждают, что именно сахар играет ключевую роль в развитии кариеса. Также избыток простых углеводов, к которым относится глюкоза и сахароза, способствует ожирению, которое, в свою очередь, повышает риск гипертонии, сердечно-сосудистых заболеваний, остеоартрита и даже некоторых видов рака. Кроме того, чрезмерное потребление сахаров связано с неалкогольной жировой болезнью печени, особенно если речь идет о любви к сладкой газировке и готовым сокам, в которых сахар часто заменяют фруктозой. Многие считают, что для того, чтобы оставаться здоровым, нужно исключить сахар из рациона. Но на практике это сделать не так-то просто. Да, можно не класть его в чай и отказаться от шоколада, конфет, сладкой газировки и пирожных. Но сахар присутствует порой в самых неожиданных местах: йогуртах, соусах, консервированных овощах, сухих завтраках, в хлебе и даже в колбасе! Далеко не каждый человек готов полностью отказаться от обработанных продуктов, более того, в натуральной пище тоже есть сахара. Эксперты считают, что полностью исключать сахар из своего питания вообще не нужно — достаточно следить за его количеством и источниками. Существует разница между натуральными сахарами, которые содержатся во фруктах и молочных продуктах, и добавленными сахарами, которые присутствуют в обработанных продуктах и напитках. Именно последние представляют наибольшую опасность и именно их стоит по возможности ограничивать, а их количество контролировать. Рекомендации по потреблению сахара различаются не только в разных странах, но даже внутри стран. Согласно большинства рекомендаций, доля добавленного сахара в рационе не должна превышать 6% от общей калорийности рациона. При употреблении около 2000 ккал в день это около 30г, или примерно 6-9 чайных ложек. При этом детям до двух лет добавленный сахар вообще лучше не употреблять. Выбирайте напитки без сахара — воду, несладкий чай, молоко, свежевыжатый сок. Не добавляйте сироп в кофейные напитки. Ешьте больше продуктов, богатых клетчаткой и белком: они снижают тягу к сладкому. Не перекусывайте сладостями, отдайте предпочтение орехам, фруктам, овощам. Покупайте несладкие продукты и делайте их сладкими самостоятельно — например, из обычного творога можно сделать десерт с помощью свежих фруктов или небольшого количества меда. Внимательно читайте этикетки и выбирайте продукты без добавленных сахаров — натуральный йогурт, несладкую ореховую пасту. Соблюдение этих простых рекомендаций поможет сделать питание более здоровым, уменьшить риск развития хронических заболеваний и улучшить общее самочувствие. Тем временем ученыеназвали4 ультраобработанных продукта, которые можно и даже нужно есть.",https://hi-tech.mail.ru/news/123252-skolko-sahara-mozhno-est-kazhdyj-den-dietologi-dali-otvet/
Samsung выпустила самый быстрый SSD-накопитель,2 дня назад,"Компания SamsungпредставилаSamsung 9100 Pro — SSD-накопитель для ПК и ноутбуков с разъемом PCIe 5.0. Производитель называет новинку самой быстрой в мире. Последовательная скорость чтения Samsung 9100 Pro составляет до 14 800 МБ/с, скорость записи — 13 400 МБ/с. Накопитель почти в 2 раза быстрее предыдущей модели 990 Pro. Кроме того, Samsung 9100 Pro обеспечивает случайное чтение/запись со скоростью  до 2200 тыс. и 2600 тыс. операций в секунду соответственно, что гарантирует бесперебойную многозадачность и ускоренную обработку данных. Твердотельный накопитель получил усовершенствованную систему управления теплом. Модели от 1 ТБ до 4 ТБ оснащены радиатором толщиной 8,8 мм, вариант на 8 ТБ поставляется с радиатором толщиной 11,25 мм. Это повышает энергоэффективность на 49% по сравнению с предыдущими моделями, снижая энергопотребление при сохранении оптимальной производительности. Samsung 9100 Pro — первый потребительский SSD-накопитель, доступный в конфигурации 8 ТБ памяти. Говорят, что такой объем хранилища особенно оценят геймеры и профессионалы. Накопитель совместим с большинством моделей ПК, ноутбуков, моноблоков и игровых консолей. Также устройство поддерживает фирменную программу Magian, в которой можно настраивать функции безопасности и миграции данных. Модели на 1, 2 и 4 ТБ поступят в продажу 18 марта 2025 года. Версия на 8 ТБ ожидается во второй половине года. Ее цена пока не объявлена. Ранее  Samsungпредставилсамый большой цветной дисплей на основе электронной бумаги.",https://hi-tech.mail.ru/news/123251-samsung-vypustila-samyj-bystryj-ssd-nakopitel/
Директор по продуктам VK Tech: «Мы развиваем технологии мирового уровня»,2 дня назад,"Последние несколько лет изменили российский IT-рынок. После снижения в 2022 году он восстановился и продолжает расти. Один из ключевых драйверов роста — цифровая трансформация экономики, которая обеспечивает высокий спрос на отечественные программные решения. VK Tech — один из крупнейших российских вендоров ПО. В его продуктовом портфеле — готовая экосистема корпоративного ПО, которая включает облачную платформу (VK Cloud), дата-сервисы, сервисы продуктивности (VK WorkSpace) и бизнес-приложения. Иван Мыздриков рассказал Hi-Tech Mail о преимуществах сервисов экосистемы VK Tech, плюсах конкуренции и перспективах компании на иностранных рынках. Из видео вы узнаете:",https://hi-tech.mail.ru/news/123241-ivan-myzdrikov-interview/
Анонсирован игровой мини-ПК по цене смартфона: на что он способен,2 дня назад,"Beelink анонсировала игровой мини-ПК SER8 Pro, в котором установлен процессор AMD Ryzen 7 8845HS,сообщаетGizmochina. Это восьмиядерный чип с шестнадцатью потоками, работающий на базовой частоте 3,8 ГГц с возможностью разгона до 5,1 ГГц. Графическая подсистема представлена интегрированной Radeon 780M, которая использует архитектуру RDNA 3 и работает на частоте 2,7 ГГц. Это позволяет запускать современные игры и выполнять сложные вычисления. Мини-ПК оснащен 32 ГБ оперативной памяти стандарта LPDDR5X с частотой 6400 МГц, что обеспечивает быструю обработку данных и плавную многозадачность. Для хранения данных предусмотрены два слота M.2 PCIe 4.0×4, поддерживающие накопители объемом до 8 ТБ. Важной особенностью SER8 Pro является развитая система охлаждения MSC2.0. В конструкции использованы паровые камеры, радиатор и тихий вентилятор, которые обеспечивают стабильную работу при энергопотреблении 65 Вт. Это делает устройство практически бесшумным даже под нагрузкой. Для подключения периферии мини-ПК предлагает широкий набор интерфейсов: SER8 Pro поддерживает подключение трех дисплеев одновременно, что делает его удобным не только для игр, но и для профессиональных задач. В корпусе из металла предусмотрены встроенные динамики с цифровой обработкой сигнала и микрофон с шумоподавлением, позволяющий использовать голосовые команды без дополнительных устройств. Мини-ПК можно монтировать на заднюю панель монитора с помощью крепления VESA, что экономит рабочее пространство и делает его отличным решением для минималистичных рабочих мест. Такой вариант размещения также улучшает охлаждение, предотвращая перегрев и обеспечивая стабильную работу даже при высоких нагрузках. Стоимость базовой версии без накопителя составляет 454 доллара или 39 500 рублей, а версия с 1 ТБ SSD обойдется в 496 долларов или 43 000 рублей. На фоне конкурентов, таких какNucBox G2 PlusиClink-X xCraft, SER8 Pro выделяется сбалансированной конфигурацией и доступной ценой. Это устройство подойдет тем, кто ищет мощный компактный компьютер для игр и работы без переплаты за брендовые решения. Также в России можно приобрести мини-ПК с водяным охлаждением. Рассказали о немв статье.",https://hi-tech.mail.ru/news/123240-anonsirovan-igrovoj-mini-pk-po-cene-smartfona-na-chto-on-sposoben/
«Билайн» столкнулся с DDoS-атакой: что известно,2 дня назад,"Ряд систем оператора связи «Билайн» столкнулся с DDoS-атакой хакеров. Об этомпишет«РИА Новости» со ссылкой на пресс-службу компании. В организации заявили, что неизвестные устроили атаку 26 февраля. Сейчас специалисты компании пытаются устранить возможные последствия. Помимо этого, сотрудники принимают необходимые меры, чтобы поддерживать стабильную работу сервисов. На неполадки пожаловались сотни пользователей, свидетельствуют данные сайта «Сбой.рф». По состоянию на 13:20 по московскому времени, за 26 февраля поступило больше 3300 жалоб. Абоненты начали отправлять соответствующие сообщения примерно в 11:30. Большинство жалоб поступают из Москвы (24%). В топ-5 также вошли Краснодарский край (20%), Санкт-Петербург (12%), Ростовская область (12%) и Ярославская область (7%). По данным пользователей, ситуация касается работы как мобильного интернета, так и домашнего. Несколько крупных сбоев, связанных с доступом в сеть, в России произошли в январе 2025 года. Например, неполадкибылиу «Ростелекома» 31 января, они возникли из-за проблем на инфраструктуре оператора. За неделю до этого схожая ситуация затронула абонентов«Мегафона», а на новогодних каникулах сбой коснулсяМТС. Помимо этого, 14 января произошел один из крупнейших инцидентов за последнее время. Пользователи по всей России на недолгий срок остались без доступа к большинству популярных сервисов. Это касалось как зарубежных сайтов, так и ряда отечественных. В Роскомнадзоре тогда заявили, что специалисты ведомства зафиксировали «кратковременное нарушение связности сети». Подробнее о ситуации и о том, как ее прокомментировали эксперты, можно прочитать вматериалеHi-Tech Mail. Ранее специалисты по кибербезопасности МВД Россиирассказалиоб основных правилах, которые позволяют защитить свои данные при использовании облачных хранилищ. Помимо этого, они назвали и главные угрозы. DDoS-атаки, по информации «Вестника киберполиции России», могут быть одним из методов, которым злоумышленники пользуются против популярных сервисов.",https://hi-tech.mail.ru/news/123250-bilajn-stolknulsya-s-ddos-atakoj-chto-izvestno/
